BioOHT_10rc.10	BioOHT_11rc.11	BioOHT_12rc.12	BioOHT_13rc.13	BioOHT_14rc.14	BioOHT_15rc.15	BioOHT_16rc.16	BioOHT_17rc.17	BioOHT_18rc.18	BioOHT_19rc.19	BioOHT_1rc.1	BioOHT_20rc.20	BioOHT_21rc.21	BioOHT_22rc.22	BioOHT_23rc.23	BioOHT_24rc.24	BioOHT_25rc.25	BioOHT_26rc.26	BioOHT_27rc.27	BioOHT_28rc.28	BioOHT_29rc.29	BioOHT_2rc.2	BioOHT_30rc.30	BioOHT_31rc.31	BioOHT_32rc.32	BioOHT_33rc.33	BioOHT_34rc.34	BioOHT_35rc.35	BioOHT_37rc.37	BioOHT_38rc.38	BioOHT_39rc.39	BioOHT_3rc.3	BioOHT_41rc.41	BioOHT_42rc.42	BioOHT_43rc.43	BioOHT_44rc.44	BioOHT_46rc.46	BioOHT_47rc.47	BioOHT_48rc.48	BioOHT_49rc.49	BioOHT_4rc.4	BioOHT_50rc.50	BioOHT_51rc.51	BioOHT_52rc.52	BioOHT_53rc.53	BioOHT_54rc.54	BioOHT_55rc.55	BioOHT_56rc.56	BioOHT_57rc.57	BioOHT_58rc.58	BioOHT_59rc.59	BioOHT_5rc.5	BioOHT_60rc.60	BioOHT_62rc.62	BioOHT_64rc.64	BioOHT_66rc.66	BioOHT_68rc.68	BioOHT_6rc.6	BioOHT_70rc.70	BioOHT_72rc.72	BioOHT_74rc.74	BioOHT_75rc.75	BioOHT_77rc.77	BioOHT_79rc.79	BioOHT_7rc.7	BioOHT_80rc.80	BioOHT_82rc.82	BioOHT_84rc.84	BioOHT_85rc.85	BioOHT_87rc.87	BioOHT_88rc.88	BioOHT_89rc.89	BioOHT_8rc.8	BioOHT_90rc.90	BioOHT_91rc.91	BioOHT_92rc.92	BioOHT_93rc.93	BioOHT_94rc.94	BioOHT_95rc.95	BioOHT_96rc.96	BioOHT_9rc.9
ASV_16S_1	9605	53843	19099	31708	3523	6022	5909	2334	8002	18336	28799	5330	6891	13199	5335	5232	2640	3611	2065	5527	6181	11628	2165	1766	2074	1870	10942	13488	6543	4091	20649	41696	19687	6862	5576	23996	13595	4714	40060	42578	10135	10507	35711	50923	72248	31319	30573	31998	47319	36126	17480	30243	34558	30062	74407	67163	50650	43388	65550	47150	5122	17745	31381	2708	24545	16975	56710	12168	11283	11748	3111	1391	4701	5111	1306	6237	4880	5721	5584	4873	65345
ASV_16S_2	0	506	62	0	5887	15732	9516	16168	13664	9590	56	8714	2354	9870	9570	3908	3948	4470	1631	1866	1232	35	760	1023	821	495	1052	450	402	252	955	75	560	475	333	656	287	183	300	187	30	60	131	2021	633	592	150	1603	1934	1359	475	0	830	131	1016	82	632	607	137	4421	2286	2812	12534	2758	131	5157	4312	4344	15178	1332	2858	431	0	3471	3335	5814	5379	14335	12345	5677	59
ASV_16S_3	6440	305	660	147	5627	8215	10542	6253	7710	8693	69	7895	2244	5143	11259	5788	3027	2845	4484	1767	682	144	367	911	760	618	268	181	251	120	649	796	544	846	404	545	311	227	235	224	269	66	264	126	70	0	0	110	188	114	94	1239	406	719	161	212	104	872	72	4413	6318	4603	443	3966	1791	4169	503	2286	6087	8802	3663	747	2569	10784	3146	6589	5056	17277	8681	7183	239
ASV_16S_4	1029	1040	2386	1327	883	2379	2089	2775	3062	2752	1002	1178	5798	3809	1920	6965	2440	7531	5128	3547	6019	6493	3661	7393	7078	4259	4298	3059	1841	1083	13583	1791	11307	3907	2599	4088	2021	1419	1793	1941	1607	395	1210	1382	887	592	441	1078	1328	1073	546	2198	1909	2002	984	2168	745	4148	277	2966	758	1758	1565	316	9420	969	1573	782	2306	1169	784	170	3639	895	383	912	848	1486	1570	806	1461
ASV_16S_5	78	3331	137	116	2364	6402	7495	9759	2733	11452	3379	5179	708	4135	5951	11620	7167	6595	3098	3699	12741	108	2448	4360	4365	2196	1542	497	1500	1446	388	1222	287	1350	1163	3106	1960	2051	198	142	109	68	95	105	79	122	0	1258	1481	1055	385	39	47	0	75	37	422	2472	146	352	657	327	2918	3095	90	603	290	559	1251	413	875	67	35	4383	1815	2998	2458	1664	1310	756	1246
ASV_16S_6	530	780	2474	1615	1533	1225	2334	2092	1626	1928	1102	2286	2145	2008	1262	1763	1431	1743	1191	853	1694	2199	1159	1484	1107	952	5182	3553	3217	2832	4199	795	3101	4078	3511	3692	1875	2253	3598	2966	2652	787	2595	1574	623	949	358	1249	1452	1163	595	469	1736	1096	1016	441	887	2211	361	2600	1239	2648	2268	1187	4213	3009	1632	2083	2392	1429	1712	743	208	1605	1085	2031	2019	1924	2046	2255	1357
ASV_16S_7	0	120	135	0	9570	3240	2947	3954	1515	857	61	1652	676	1319	1324	598	1185	894	2211	209	207	73	255	336	303	222	516	210	192	158	344	59	192	256	275	247	141	142	156	197	0	70	149	126	64	134	42	186	203	145	76	57	200	141	173	54	127	420	79	685	3005	911	401	7911	212	5687	607	4497	4283	1164	4596	211	0	5205	11226	7421	12478	5095	6078	3054	46
ASV_16S_8	0	1584	150	0	1025	560	1336	4510	2181	1715	513	924	2637	4768	1410	4398	4422	10383	4110	2096	4006	166	5908	10374	4871	10998	2335	1285	3441	2896	517	496	383	1953	1823	713	944	1448	407	366	81	163	208	147	0	405	0	653	731	503	333	0	98	39	71	28	240	1257	105	357	710	172	557	649	180	495	329	371	699	390	364	0	0	634	226	442	366	646	377	197	338
ASV_16S_9	264	951	1336	3037	339	330	569	1183	350	1157	737	340	1191	631	248	1402	424	1433	450	775	1319	1406	629	1164	484	417	8682	5020	1191	1373	2664	928	2028	634	646	6665	1552	1253	9308	3143	843	635	2485	4471	895	925	418	5225	2602	1651	1081	315	2162	211	419	141	3206	4057	963	1024	167	689	3891	112	1927	618	897	343	552	190	73	15	122	98	55	119	105	128	172	112	1329
ASV_16S_10	135	1556	1624	2200	316	75	202	68	558	367	1072	471	408	780	107	643	343	488	415	154	376	1350	496	485	281	339	988	1055	3194	4520	620	1354	453	4269	3606	998	3160	4973	2491	3297	2318	1266	4419	1160	981	4948	1340	1549	2180	2056	5426	162	1926	385	977	708	1346	1531	535	1632	1241	878	1371	1407	1358	1757	1437	903	647	532	150	46	21	936	180	355	345	369	358	117	683
