"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"1"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"2"	"30"	"31"	"32"	"33"	"34"	"35"	"37"	"38"	"39"	"3"	"41"	"42"	"43"	"44"	"46"	"47"	"48"	"49"	"4"	"50"	"51"	"52"	"53"	"54"	"55"	"56"	"57"	"58"	"59"	"5"	"60"	"62"	"64"	"66"	"68"	"6"	"70"	"72"	"74"	"75"	"77"	"79"	"7"	"80"	"82"	"84"	"85"	"87"	"88"	"89"	"8"	"90"	"91"	"92"	"93"	"94"	"95"	"96"	"9"
"ASV_16S_1"	10897	59116	23163	37479	3981	6508	6700	2891	9295	21924	39934	6055	7704	15104	5897	8030	3144	4362	2709	6672	10125	16369	2896	2612	3135	2681	14140	16502	9609	7704	25515	46467	23976	10088	8813	30371	18090	11668	48413	50285	17799	12188	44145	58462	80005	40412	35675	37200	53707	42431	24521	33241	39791	32226	81578	72485	59271	49993	71187	52196	6603	21296	36368	5161	29570	20133	63453	14341	13421	12789	3410	1469	5914	6152	1495	6955	5468	6218	6122	5206	73899
"ASV_16S_2"	78	8084	580	116	11775	30088	23936	41558	23246	35115	6734	19261	7994	25528	27873	33410	25483	36349	14678	19707	29633	563	18158	32840	26891	32359	9552	4469	10363	9170	2838	2805	1980	7116	6196	6038	4934	6020	1164	931	335	385	559	2578	758	1559	180	4721	5436	3849	1630	67	1088	170	1267	182	1634	6352	427	5679	4670	3832	17771	8058	764	7683	5816	6381	19297	3006	5075	575	35	10653	6799	12108	10566	19070	15954	7603	2400
"ASV_16S_3"	72990	5642	15089	13327	51866	38739	46773	42648	34421	37606	8052	42165	29704	38612	37389	36102	25536	40208	41079	18985	32655	26722	19437	32610	29384	28662	38227	25416	29856	23589	37474	7841	30590	25483	18650	19879	10955	12912	22465	21004	20272	4477	16394	8430	3879	6961	2231	7800	8388	6068	4231	66780	11462	8837	8116	8694	5094	24110	1910	36842	47059	50213	16556	44446	29118	48854	15901	34328	57072	64683	46990	11080	50940	52311	44806	56965	59833	75770	61390	52413	7661
"ASV_16S_9"	264	1087	1426	3148	750	501	1150	3825	1000	2571	952	928	1319	2106	1076	3730	2563	4214	2242	2566	3071	1496	2943	4677	3119	5498	8919	5129	1350	1563	2766	971	2089	765	747	6856	1732	1508	9522	3214	934	672	2549	4608	921	1079	424	5442	2741	1750	1152	334	2190	211	439	147	3273	4236	977	1038	319	745	4032	332	2001	669	934	372	687	254	104	15	122	198	158	181	132	283	313	123	1397
"ASV_16S_10"	1824	13815	12467	12120	3658	1085	2571	3311	6802	4507	9371	4748	3289	7325	1406	7747	4148	5775	5293	1450	5634	11874	4851	5629	3011	5605	11987	11518	18765	25056	7094	10873	5245	20849	18542	12832	18715	38660	20472	20820	28747	7002	27015	10311	6866	29758	7423	15717	17782	15598	34522	2151	14056	2789	6084	3997	11056	14746	4479	11578	13944	12169	12538	26606	14151	20199	12012	12372	7960	5662	2549	338	383	8365	3810	4768	4467	3449	3820	1411	7222
"ASV_16S_21"	1580	2390	4388	6661	481	183	753	150	729	823	2284	748	1728	1345	254	1181	402	723	1681	361	932	5807	464	554	360	688	1961	2589	2017	2578	2005	2656	1492	3256	3337	2342	2425	5692	3595	5540	9542	1175	6201	1909	1972	4717	1517	1603	3019	2491	5050	1277	4437	511	2012	1612	1638	3506	871	4363	2684	6232	1975	3300	5829	3987	3364	2593	2963	1097	551	52	601	718	338	497	444	681	1859	347	2664
"ASV_16S_27"	4324	1497	1186	227	10697	8395	5172	8950	6580	4188	1359	12266	1834	6857	4164	7549	12959	12045	8862	3097	5636	1093	9848	8612	3945	8193	8792	3419	5134	5430	2714	678	1882	6366	5957	2670	3148	8173	1724	1065	804	255	872	643	126	2101	137	906	778	663	906	76	293	73	270	80	303	4308	193	2009	16716	7501	1632	30664	2103	8136	1028	5487	12739	9728	5143	635	46	10658	13963	13603	10132	8363	9924	3546	1283
"ASV_16S_74"	1162	710	3485	3875	682	245	354	324	608	508	741	1441	1281	1274	123	552	215	661	1182	114	397	4349	306	430	327	955	2372	2562	688	362	1935	779	1465	772	777	872	413	835	2513	4412	3596	469	2779	983	705	776	386	611	960	786	822	1122	1502	705	1438	974	700	1903	365	3193	2119	6444	976	1394	2593	4288	1794	2554	2626	2471	1099	275	221	814	704	1000	1069	2006	1749	1453	1083
"ASV_16S_108"	51	224	599	337	137	32	56	284	200	138	330	162	153	297	64	236	549	302	150	73	245	351	563	262	119	135	1270	753	2127	1920	327	179	254	1170	896	482	604	1201	1106	585	1678	201	1042	833	232	1385	249	499	493	462	771	91	337	48	165	74	183	416	97	491	342	193	373	913	459	584	342	407	206	83	57	7	2	305	144	226	139	91	89	26	179
